Date,Open,High,Low,Close,Adj Close,Volume
1998-11-01,4076.300049,4299.439941,3762.689941,3769.879883,3769.879883,0
1998-12-01,3769.360107,4003.520020,3685.520020,3959.659912,3959.659912,0
1999-01-01,3959.489990,4040.149902,3267.969971,3957.929932,3957.929932,0
1999-02-01,3960.209961,4322.330078,3911.270020,4260.799805,4260.799805,0
1999-03-01,4260.330078,4943.910156,4115.890137,4930.370117,4930.370117,0
1999-04-01,4931.049805,5686.979980,4931.049805,5414.450195,5414.450195,0
1999-05-01,5414.750000,6192.859863,5373.529785,5477.649902,5477.649902,0
1999-06-01,5479.490234,5866.660156,5106.750000,5829.509766,5829.509766,0
1999-07-01,5828.520020,6027.580078,5237.319824,5260.350098,5260.350098,0
1999-08-01,5258.359863,5468.069824,4940.229980,5086.870117,5086.870117,0
1999-09-01,5085.520020,5131.970215,4813.770020,5050.459961,5050.459961,0
1999-10-01,5039.700195,5509.160156,4749.649902,5450.370117,5450.370117,0
1999-11-01,5451.750000,6338.529785,5449.830078,6136.470215,6136.470215,0
1999-12-01,6136.419922,7180.330078,6129.200195,7129.879883,7129.879883,0
2000-01-01,7185.709961,7447.459961,6510.839844,6585.669922,6585.669922,0
2000-02-01,6585.759766,7818.009766,6566.509766,7368.549805,7368.549805,0
2000-03-01,7368.660156,8417.330078,7368.660156,7473.250000,7473.250000,0
2000-04-01,7459.750000,7639.379883,6120.970215,6640.680176,6640.680176,0
2000-05-01,6641.970215,6789.759766,5516.770020,5961.140137,5961.140137,0
2000-06-01,5961.240234,7035.770020,5960.859863,6948.330078,6948.330078,0
2000-07-01,6953.729980,7548.569824,6303.520020,6514.209961,6514.209961,0
2000-08-01,6511.290039,6730.569824,6171.950195,6664.819824,6664.819824,0
2000-09-01,6663.569824,7025.549805,6330.250000,6334.560059,6334.560059,0
2000-10-01,6334.640137,6424.859863,5538.299805,6394.240234,6394.240234,0
2000-11-01,6394.799805,6502.600098,5650.370117,5652.629883,5652.629883,0
2000-12-01,5652.350098,5886.640137,5148.020020,5652.189941,5652.189941,0
2001-01-01,5651.350098,6615.830078,5515.830078,6496.890137,6496.890137,0
2001-02-01,6496.899902,6559.750000,5930.939941,6032.100098,6032.100098,0
2001-03-01,6030.259766,6365.740234,5512.770020,5727.890137,5727.890137,0
2001-04-01,5733.669922,6257.870117,5541.680176,5987.250000,5987.250000,0
2001-05-01,5993.500000,6831.950195,5948.930176,6595.390137,6595.390137,2599733000
2001-06-01,6592.910156,6895.700195,6354.040039,6666.169922,6666.169922,2288691600
2001-07-01,6666.200195,6868.890137,6352.129883,6474.399902,6474.399902,2164486400
2001-08-01,6475.629883,6733.310059,6189.609863,6310.700195,6310.700195,1463485400
