DATE,LCEAMN01MXM661S
2008-06-01,75.9333471582632
2008-07-01,75.9002772271405
2008-08-01,76.1784625054656
2008-09-01,77.3134935043981
2008-10-01,77.7423779285852
2008-11-01,77.8325233103274
2008-12-01,77.6640094729555
2009-01-01,77.945335048007
2009-02-01,78.4127085328532
2009-03-01,78.6374168699182
2009-04-01,78.9780042363163
2009-05-01,79.102147970613
2009-06-01,79.4070291276
2009-07-01,80.2008272532046
2009-08-01,79.8501737572769
2009-09-01,80.2004375278769
2009-10-01,80.362053072086
2009-11-01,80.3040072634004
2009-12-01,80.6892513439726
2010-01-01,81.1906495012919
2010-02-01,81.3028714056107
2010-03-01,82.2501713641566
2010-04-01,81.7910780730638
2010-05-01,81.6939329054372
2010-06-01,81.964158167037
2010-07-01,82.1209661525095
2010-08-01,82.4059912150956
2010-09-01,82.4647569949753
2010-10-01,82.4400174653371
2010-11-01,82.9918011875241
2010-12-01,82.7933572062634
2011-01-01,83.5633328596233
2011-02-01,83.7476452179592
2011-03-01,83.9129582109042
2011-04-01,84.0386778391072
2011-05-01,84.4465783200944
2011-06-01,84.873630382775
2011-07-01,84.8534681449296
2011-08-01,85.8881485140923
2011-09-01,86.533837324579
2011-10-01,86.6252313882146
2011-11-01,86.7292013973185
2011-12-01,87.2435047727728
2012-01-01,87.1424452671186
2012-02-01,87.7968892407272
2012-03-01,88.1303574785206
2012-04-01,88.119478778242
2012-05-01,88.4705373157383
2012-06-01,88.9631686140307
2012-07-01,89.2141035081779
2012-08-01,89.4462874184598
2012-09-01,89.2118162924229
2012-10-01,89.1605141228676
2012-11-01,90.0466649104046
2012-12-01,89.3201756683397
2013-01-01,91.0196982027691
2013-02-01,90.475409899799
2013-03-01,90.9819114613451
2013-04-01,91.3512569470802
2013-05-01,91.781761533239
2013-06-01,91.7420301451564
2013-07-01,92.3438724471031
2013-08-01,92.5981304668443
2013-09-01,92.6078030696785
2013-10-01,93.3809140749634
2013-11-01,93.8644606080004
2013-12-01,94.7859019002587
2014-01-01,94.9596276403902
2014-02-01,94.9327256271887
2014-03-01,94.6013693454692
2014-04-01,95.7074372504968
2014-05-01,96.1310994655848
2014-06-01,96.4326612085656
2014-07-01,97.3367950850371
2014-08-01,97.026231382154
2014-09-01,97.5381852231307
2014-10-01,97.9211352182742
2014-11-01,97.8601481203236
2014-12-01,97.7123143022912
2015-01-01,98.4049443388303
2015-02-01,98.9613850353503
2015-03-01,99.3333151697376
2015-04-01,99.1455508093762
2015-05-01,99.2880180957236
2015-06-01,99.8905199607423
2015-07-01,100.386162171073
2015-08-01,100.270524798879
2015-09-01,100.130624476591
2015-10-01,101.522314200583
2015-11-01,102.034893010351
2015-12-01,101.646757155473
2016-01-01,101.929906568377
2016-02-01,102.431253290628
2016-03-01,103.057775464782
2016-04-01,104.140302457749
2016-05-01,104.379752993265
2016-06-01,104.723993835325
2016-07-01,105.071755237279
2016-08-01,105.641604033972
2016-09-01,107.27843222256
2016-10-01,106.638922408705
2016-11-01,106.749696503435
2016-12-01,107.688955123493
2017-01-01,108.9837967902
2017-02-01,109.202617650627
2017-03-01,109.736343058894
2017-04-01,109.833133048218
2017-05-01,110.963275340807
2017-06-01,111.893011016263
2017-07-01,111.610565271009
2017-08-01,112.24488225126
2017-09-01,113.163479421764
2017-10-01,113.597232118551
2017-11-01,114.564815392216
2017-12-01,114.402498752097
2018-01-01,114.401333572065
2018-02-01,115.568742603088
2018-03-01,116.391608996787
2018-04-01,116.771444948254
2018-05-01,117.558259818743
2018-06-01,118.186526732915
2018-07-01,118.427576137687
2018-08-01,119.713363622578
2018-09-01,119.041865454926
2018-10-01,120.058660888212
2018-11-01,121.175135261758
2018-12-01,121.0756634393
2019-01-01,122.35891676016
2019-02-01,122.956892760458
2019-03-01,123.671136296037
2019-04-01,124.919518387853
2019-05-01,126.699067963485
2019-06-01,125.164374823295
2019-07-01,125.185387547303
2019-08-01,126.584205293001
2019-09-01,126.980755306071
2019-10-01,126.523453339824
2019-11-01,127.583191358676
2019-12-01,128.146646954657
