country,Date,C,X,GDP,M,I,Q,Y,time,population,log_population,TB,TBGDP,IGDP,C_growth,GDP_growth,I_growth,C_cycle,GDP_cycle,I_cycle,TBGDP_cycle,C_linear_cycle,GDP_linear_cycle,I_linear_cycle,TBGDP_linear_cycle
Mexico,Q3 2001,-3.824767527884835,0.00771158673551747,-3.420382040282429,0.008602083222866116,-5.0636684477631375,3,2001,2001-07-01,98630933.69576961,18.40689549953618,-0.000890496487348646,-0.027232358567413094,0.19334359122040948,,,,0.00997074983136903,0.006026700221062775,0.0023296262340659624,-0.00296346011427134,,,,
Mexico,Q4 2001,-3.814256973207319,0.007674680015404545,-3.4229295802619637,0.008683020269828687,-5.076502411507913,4,2001,2001-10-01,98251457.84403792,18.403040646710817,-0.0010083402544241414,-0.030914806594333273,0.19136497101829522,,,,0.015173919412817316,0.0026227870637418604,-0.009727101010990502,-0.005378508818242016,,,,
Mexico,Q1 2002,-3.83691579324435,0.00755173249610739,-3.4564203558234,0.008605666071534528,-5.13118464692058,1,2002,2002-01-01,100917080.99999979,18.429809757418706,-0.0010539335754271382,-0.03341315826866017,0.18735233489113898,,,,-0.012519043042998224,-0.031652013440166105,-0.06379070359868688,-0.00680667493727511,,,,
Mexico,Q2 2002,-3.8240785943086846,0.007689387570513781,-3.4435774599427136,0.008843403708087167,-5.1209987379635304,2,2002,2002-04-01,100534209.37765886,18.426008619360754,-0.0011540161375733857,-0.0361192372769833,0.18685520291626054,,,,-0.0044885519965673915,-0.019593863721553362,-0.053346161420257054,-0.008632092187616618,,,,
Mexico,Q3 2002,-3.8192028449632374,0.007799641900564764,-3.4319570889432534,0.008947113674531592,-5.099846198345073,3,2002,2002-07-01,100152790.34072544,18.422207481302806,-0.0011474717739668279,-0.03549948373654272,0.18864485429619973,,,,-0.004230059756633597,-0.008812247050284938,-0.03245651492310131,-0.007309256544327257,,,,
Mexico,Q4 2002,-3.8205994560606964,0.007838201954319614,-3.4258150119934894,0.008403617474468184,-5.100188723616759,4,2002,2002-10-01,99772818.37820216,18.418406343244857,-0.0005654155201485697,-0.017385223612354162,0.18742552515991467,,,,-0.010089655576716261,-0.0036039733765194093,-0.033711645046974326,0.01134784522737382,,,,
Mexico,Q1 2003,-3.828613914506962,0.007531833090676623,-3.4497239700687365,0.009208644620685392,-5.120757960299816,1,2003,2003-01-01,102429341.00000003,18.44468376273001,-0.001676811530008769,-0.05280564307319756,0.18805252060801048,,,,-0.02244536097619898,-0.028577316802854913,-0.05595109837948087,-0.02366806555615653,,,,
Mexico,Q2 2003,-3.8270666793805654,0.0075168160631280834,-3.443665853518256,0.008657242840846038,-5.11692191620423,2,2003,2003-04-01,102049164.64069785,18.440965261402184,-0.0011404267777179542,-0.035697062849805894,0.1876351182028347,,,,-0.025143863612357098,-0.023747448322473108,-0.054629713018826465,-0.006278494543781581,,,,
Mexico,Q3 2003,-3.8168453417008967,0.007867912442291534,-3.440368427143468,0.008690500929607515,-5.120994651004755,3,2003,2003-07-01,101670399.34255023,18.43724676007436,-0.0008225884873159801,-0.025663486126993186,0.18625730074473082,,,,-0.019084954732716763,-0.0218575525577136,-0.06211340949149591,0.0039421627025269385,,,,
Mexico,Q4 2003,-3.7992996662760814,0.00809714469095465,-3.4257057406035907,0.008613034036046468,-5.112514206566937,4,2003,2003-10-01,101293039.86826752,18.43352825874653,-0.0005158893450918182,-0.015860674705137617,0.18510936508252557,,,,-0.005614884458780889,-0.008782256833510527,-0.05795794694413203,0.013871676064323008,,,,
Mexico,Q1 2004,-3.814867712626694,0.008142761844577613,-3.4375703288237704,0.00863639981342971,-5.089172165838888,1,2004,2004-01-01,103945813.00000006,18.459380292476798,-0.0004936379688520974,-0.015357707139183618,0.19174252222555477,,,,-0.025156269527794706,-0.022401012770380202,-0.03983380472500819,0.014472034816905281,,,,
Mexico,Q2 2004,-3.7961668365039,0.008363575724344069,-3.4185407702781685,0.009082590694753378,-5.063906965255998,2,2004,2004-04-01,103564603.05354995,18.4557061600401,-0.0007190149704093089,-0.02194781675157989,0.19294189550240193,,,,-0.010307513604805862,-0.005273826627330447,-0.020622091952838595,0.007972403670527938,,,,
Mexico,Q3 2004,-3.778145018376718,0.008474370013532037,-3.417060656138848,0.009354109159055463,-5.071202280354248,3,2004,2004-07-01,103184791.15305321,18.4520320276034,-0.0008797391455234258,-0.026814179009931015,0.19125615491803108,,,,0.004018077595738578,-0.005811716728290062,-0.03472426071897328,0.0032029601685287096,,,,
Mexico,Q4 2004,-3.7622274197318597,0.008591977144451148,-3.400199266468875,0.00960939073264476,-5.036371480202676,4,2004,2004-10-01,102806372.1713293,18.448357895166705,-0.0010174135881936119,-0.03049195796567369,0.19472397934035646,,,,0.016436459537700454,0.008951905853449738,-0.007358567840351604,-0.000363089481880869,,,,
Mexico,Q1 2005,-3.786345933029886,0.008452707668780176,-3.423864821521705,0.009279052652840764,-5.041062921247819,1,2005,2005-01-01,105442401.99999976,18.47367540918737,-0.0008263449840605879,-0.025358700473921098,0.19845396904503837,,,,-0.010945654587404263,-0.016851677822834255,-0.020056554848461694,0.0049030762727289255,,,,
Mexico,Q2 2005,-3.7816635191007224,0.00869413278572304,-3.4174615863908846,0.009280730308172103,-5.0385912587635415,2,2005,2005-04-01,105066246.68765429,18.470101630009726,-0.0005865975224490626,-0.017886482149403082,0.19767526461830798,,,,-0.00926289274463521,-0.012592826479117303,-0.026011462997217016,0.012535977157097325,,,,
Mexico,Q3 2005,-3.766056002692444,0.008710671651900901,-3.405503335078412,0.00957406798887802,-5.022216345739787,3,2005,2005-07-01,104691433.27208205,18.466527850832083,-0.0008633963369771187,-0.026013662913059905,0.19855026024829278,,,,0.0036440942169164714,-0.0027408754471847097,-0.01834919590982942,0.0046007841670826985,,,,
Mexico,Q4 2005,-3.7587996589517445,0.009308035052053572,-3.385347406179762,0.010121470269419789,-4.980257410205217,4,2005,2005-10-01,104317956.96619938,18.46295407165444,-0.0008134352173662165,-0.024019317831434843,0.2029267902750407,,,,0.008539994357507297,0.015399145864251285,0.0147612249161444,0.006814118167217217,,,,
Mexico,Q1 2006,-3.762751038724302,0.009422825776693282,-3.392263270118389,0.01012360461007391,-4.9809015075640835,1,2006,2006-01-01,106886789.99999982,18.48728079492633,-0.0007007788333806275,-0.02083637644553683,0.2042034991615406,,,,0.002606942479527863,0.006611789265655421,0.005294418855007699,0.010235870057462976,,,,
Mexico,Q2 2006,-3.749358101365419,0.009415273793159852,-3.3791517244640676,0.010302853440808906,-4.948725195393142,2,2006,2006-04-01,106523848.59255382,18.48387944849159,-0.0008875796476490536,-0.02604679444348424,0.20813393860257562,,,,0.014430327379267194,0.0180406549550014,0.028826277342979267,0.0052726457668181015,,,,
Mexico,Q3 2006,-3.744190172257022,0.009253128317774867,-3.373002846140599,0.010387499765819229,-4.930676405493975,3,2006,2006-07-01,106162139.5774856,18.48047810205685,-0.0011343714480443624,-0.03308505114753691,0.21062550940184058,,,,0.018472542487340426,0.02273593140794805,0.038558008579672176,-0.0015278698286466455,,,,
Mexico,Q4 2006,-3.7333357487354673,0.009298049874032842,-3.367111039657432,0.010253994243674064,-4.920227865205097,4,2006,2006-10-01,105801658.77012214,18.47707675562211,-0.0009559443696412224,-0.027717264363927175,0.21158746380145635,,,,0.02866779032532296,0.027432204105160007,0.04114800880442537,0.004047074259562727,,,,
Mexico,Q1 2007,-3.747130001691661,0.009165213774879478,-3.383452699659744,0.010221739711614383,-4.947607317805247,1,2007,2007-01-01,108302972.99999999,18.50044316311798,-0.001056525936734904,-0.031138307297549326,0.20926484712118645,,,,0.01469205452118505,0.010167858434442678,0.006475559560991329,0.0007824285399211615,,,,
Mexico,Q2 2007,-3.734329433258779,0.009421973975192299,-3.3725152654566264,0.010561651755551802,-4.924082687005221,2,2007,2007-04-01,107947177.80774193,18.497152571070067,-0.0011396777803595031,-0.03322361237035869,0.2119155523692574,,,,0.02778207009167266,0.020453089992123363,0.023354044455563994,-0.0012199451175696624,,,,
Mexico,Q3 2007,-3.733966142907922,0.009539564644526781,-3.362954959124208,0.010802250566053752,-4.8897597255286716,3,2007,2007-07-01,107592551.46815085,18.493861979022157,-0.0012626859215269706,-0.03645928268479548,0.21722865589545245,,,,0.02888979218153187,0.029622956695968483,0.05175497085675396,-0.004469344541230408,,,,
Mexico,Q4 2007,-3.72938921363349,0.009483837457587957,-3.35574059270368,0.01087893135294674,-4.847108305383103,4,2007,2007-10-01,107239090.14133032,18.490571386974242,-0.001395093895358782,-0.039992915031488885,0.22506462120011622,,,,0.03463282861840078,0.036687143317434945,0.08927113057153058,-0.00813579878187224,,,,
Mexico,Q1 2008,-3.7414955058797235,0.009377900279044945,-3.3801179549945535,0.010731541084172827,-4.854551756178168,1,2008,2008-01-01,109684488.99999976,18.51311852053543,-0.0013536408051278825,-0.039762164126270635,0.22890829796767959,,,,0.02406295365996325,0.012359843521726699,0.07750951094793557,-0.008176601475170596,,,,
Mexico,Q2 2008,-3.730070518887966,0.009429559071698977,-3.36958406411265,0.010835174226203947,-4.8395076707483815,2,2008,2008-04-01,109337466.59420823,18.509949681181066,-0.0014056151545049703,-0.04085622119989629,0.22994305063900183,,,,0.037321657248913453,0.02308109219316279,0.08902704165253361,-0.00969549789748609,,,,
Mexico,Q3 2008,-3.7345860652643723,0.009289872227089806,-3.3631138249481647,0.011377995723665886,-4.83678993507636,3,2008,2008-07-01,108991542.10619175,18.506780841826703,-0.0020881234965760796,-0.060302866450103514,0.22908180546179835,,,,0.034849076617096575,0.029805312539487705,0.08893591575945159,-0.029729711916239437,,,,
Mexico,Q4 2008,-3.769470133926574,0.008688543648319766,-3.3764105128759994,0.010209079308020376,-4.869479326702989,4,2008,2008-10-01,108646712.06233186,18.50361200247234,-0.00152053565970061,-0.044499288191647446,0.22468208896996988,,,,0.0021058466491021832,0.01674413160111854,0.054025792883508394,-0.014679815829682932,,,,
Mexico,Q1 2009,-3.835345722386261,0.0077904588576539185,-3.4507832000105894,0.00870730914525738,-4.994851146696133,1,2009,2009-01-01,111049427.99999987,18.525485957458486,-0.0009168502876034622,-0.028903772320178937,0.21351078194279935,,,,-0.06166418703742815,-0.057515248641399896,-0.07316377583480183,1.1101552983085877e-05,,,,
Mexico,Q2 2009,-3.8413152762556213,0.007599006122886092,-3.462754335675978,0.008094809403936662,-4.994071201623203,2,2009,2009-04-01,110706609.0480383,18.52239409822772,-0.0004958032810505695,-0.01581847078019475,0.2162507065381112,,,,-0.06569794307950394,-0.06960946849937955,-0.07401751087508579,0.012065260258605916,,,,
Mexico,Q3 2009,-3.8123124238127146,0.008097554727783273,-3.4271120385401077,0.009333334978184319,-4.980148658481766,3,2009,2009-07-01,110364848.4071004,18.519302238996957,-0.001235780250401046,-0.038046709065545865,0.21160443498279669,,,,-0.03502498266310772,-0.034404890597631965,-0.06171776578720678,-0.011296300173791973,,,,
Mexico,Q4 2009,-3.789552213141008,0.008881663378979558,-3.4075908669173347,0.009801469681626058,-4.978783044304622,4,2009,2009-10-01,110024142.81009075,18.516210379766193,-0.0009198063026465003,-0.027771177303312623,0.20779730338229352,,,,-0.010915225565204967,-0.0156708112895676,-0.06209099321196554,-0.002239445626079098,,,,
Mexico,Q1 2010,-3.815691993332575,0.009213339365255346,-3.419644947691803,0.009970364002097495,-4.968247242763886,1,2010,2010-01-01,112532400.99999999,18.53875174703104,-0.0007570246368421487,-0.02313358521365325,0.21254484128392542,,,,-0.03605900195720091,-0.028874592441761937,-0.05349842882585687,0.0011179986144067705,,,,
Mexico,Q2 2010,-3.7990574183885,0.009720767059817911,-3.4054783507445405,0.010335170732093052,-4.954918353435133,2,2010,2010-04-01,112159811.3904833,18.5354352996379,-0.0006144036722751413,-0.018511186603126627,0.21236686540738894,,,,-0.018808124903534562,-0.016223744660617267,-0.042366717338078175,0.004424062827443488,,,,
Mexico,Q3 2010,-3.7942280213547224,0.009963225593685388,-3.3927006910021795,0.010532609970342754,-4.961752469215952,3,2010,2010-07-01,111788455.40804584,18.532118852244764,-0.0005693843766573659,-0.016937009659565835,0.2082425488902864,,,,-0.013745749637275484,-0.005313276977865655,-0.0516680602618278,0.0046703041624007215,,,,
